Itr: 0, Loss: 0.02202012576162815, L_s: 0.022019874304533005, L_vlb: 0.0002521629212424159
Itr: 1, Loss: 0.018501179292798042, L_s: 0.018500998616218567, L_vlb: 0.0001806799555197358
Itr: 2, Loss: 0.05726045370101929, L_s: 0.05725871026515961, L_vlb: 0.0017440326046198606
Itr: 3, Loss: 0.036465175449848175, L_s: 0.03646485507488251, L_vlb: 0.0003210573922842741
Itr: 4, Loss: 0.03341330215334892, L_s: 0.03341250866651535, L_vlb: 0.0007931688451208174
Itr: 5, Loss: 0.05274312570691109, L_s: 0.05274087190628052, L_vlb: 0.002252008067443967
Itr: 6, Loss: 0.12755455076694489, L_s: 0.12752237915992737, L_vlb: 0.032175756990909576
Itr: 7, Loss: 0.019247738644480705, L_s: 0.01924760453402996, L_vlb: 0.00013378907169681042
Itr: 8, Loss: 0.024841776117682457, L_s: 0.02484152466058731, L_vlb: 0.00025204848498106003
Itr: 9, Loss: 0.0291439238935709, L_s: 0.029143676161766052, L_vlb: 0.0002472532505635172
Itr: 10, Loss: 0.03987845778465271, L_s: 0.03987741097807884, L_vlb: 0.0010458490578457713
Itr: 11, Loss: 0.04372492805123329, L_s: 0.043724145740270615, L_vlb: 0.0007807561778463423
Itr: 12, Loss: 0.021231025457382202, L_s: 0.02123061567544937, L_vlb: 0.00041048243292607367
Itr: 13, Loss: 0.07207513600587845, L_s: 0.07207229733467102, L_vlb: 0.00284153176471591
Itr: 14, Loss: 0.04123852401971817, L_s: 0.04123716801404953, L_vlb: 0.0013561946107074618
Itr: 15, Loss: 0.04251733049750328, L_s: 0.04251576215028763, L_vlb: 0.0015689822612330317
Itr: 16, Loss: 0.011866038665175438, L_s: 0.011865681037306786, L_vlb: 0.00035749582457356155
Itr: 17, Loss: 0.030250083655118942, L_s: 0.03024981915950775, L_vlb: 0.0002646086795721203
Itr: 18, Loss: 0.030110621824860573, L_s: 0.030110448598861694, L_vlb: 0.0001739793224260211
Itr: 19, Loss: 0.009708134457468987, L_s: 0.009708073921501637, L_vlb: 6.073143595131114e-05
Itr: 20, Loss: 0.031084632501006126, L_s: 0.03108402155339718, L_vlb: 0.0006105033098720014
Itr: 21, Loss: 0.0165956299751997, L_s: 0.016595494002103806, L_vlb: 0.00013524098903872073
Itr: 22, Loss: 0.05841151997447014, L_s: 0.05841027945280075, L_vlb: 0.0012403348227962852
Itr: 23, Loss: 0.02989744208753109, L_s: 0.029896892607212067, L_vlb: 0.0005486413720063865
Itr: 24, Loss: 0.020221201702952385, L_s: 0.020221062004566193, L_vlb: 0.00014060133253224194
Itr: 25, Loss: 0.022168265655636787, L_s: 0.0221681110560894, L_vlb: 0.00015374220674857497
Itr: 26, Loss: 0.01968546397984028, L_s: 0.019685281440615654, L_vlb: 0.0001819523167796433
Itr: 27, Loss: 0.02307518571615219, L_s: 0.023074939846992493, L_vlb: 0.00024617943563498557
Itr: 28, Loss: 0.02326228655874729, L_s: 0.023262133821845055, L_vlb: 0.00015181736671365798
Itr: 29, Loss: 0.0940638929605484, L_s: 0.09404323995113373, L_vlb: 0.020653968676924706
Itr: 30, Loss: 0.033258240669965744, L_s: 0.03325799107551575, L_vlb: 0.0002480389957781881
Itr: 31, Loss: 0.03345716744661331, L_s: 0.033456750214099884, L_vlb: 0.00041730472003109753
Itr: 32, Loss: 0.020047476515173912, L_s: 0.020047271624207497, L_vlb: 0.00020558327378239483
Itr: 33, Loss: 0.18241381645202637, L_s: 0.18236850202083588, L_vlb: 0.045318834483623505
Itr: 34, Loss: 0.05094583332538605, L_s: 0.05094509571790695, L_vlb: 0.0007376538123935461
Itr: 35, Loss: 0.14155881106853485, L_s: 0.14133167266845703, L_vlb: 0.22713491320610046
Itr: 36, Loss: 0.02809872291982174, L_s: 0.028098469600081444, L_vlb: 0.00025277771055698395
Itr: 37, Loss: 0.02073296345770359, L_s: 0.02073284052312374, L_vlb: 0.0001229848712682724
Itr: 38, Loss: 0.08655776083469391, L_s: 0.08654379844665527, L_vlb: 0.013963313773274422
Itr: 39, Loss: 0.02353389374911785, L_s: 0.023533523082733154, L_vlb: 0.00036996774724684656
Itr: 40, Loss: 0.03232397884130478, L_s: 0.03232356533408165, L_vlb: 0.0004126934800297022
Itr: 41, Loss: 0.015781676396727562, L_s: 0.015781572088599205, L_vlb: 0.0001039408816723153
Itr: 42, Loss: 0.04249321669340134, L_s: 0.042491521686315536, L_vlb: 0.0016944492235779762
Itr: 43, Loss: 0.03233521804213524, L_s: 0.03233450651168823, L_vlb: 0.0007122863898985088
Itr: 44, Loss: 0.014667153358459473, L_s: 0.014667063020169735, L_vlb: 9.021443111123517e-05
Itr: 45, Loss: 0.11384323239326477, L_s: 0.11381369829177856, L_vlb: 0.02953088842332363
Itr: 46, Loss: 0.02218940481543541, L_s: 0.022189095616340637, L_vlb: 0.00030955031979829073
Itr: 47, Loss: 0.09644988179206848, L_s: 0.09644465148448944, L_vlb: 0.005230220966041088
Itr: 48, Loss: 0.023127147927880287, L_s: 0.02312697097659111, L_vlb: 0.00017646318883635104
Itr: 49, Loss: 0.05408209562301636, L_s: 0.05408124253153801, L_vlb: 0.0008514068904332817
Itr: 50, Loss: 0.1038171797990799, L_s: 0.10377812385559082, L_vlb: 0.03905957192182541
Itr: 51, Loss: 0.09042949974536896, L_s: 0.09042628854513168, L_vlb: 0.0032109785825014114
Itr: 52, Loss: 0.03722519427537918, L_s: 0.03722444921731949, L_vlb: 0.0007434631697833538
Itr: 53, Loss: 0.028236912563443184, L_s: 0.028236739337444305, L_vlb: 0.00017297992599196732
Itr: 54, Loss: 0.0467805452644825, L_s: 0.04677845165133476, L_vlb: 0.0020923272240906954
Itr: 55, Loss: 0.01616424135863781, L_s: 0.016164138913154602, L_vlb: 0.00010198947711614892
Itr: 56, Loss: 0.018702635541558266, L_s: 0.01870250701904297, L_vlb: 0.00012765136489178985
Itr: 57, Loss: 0.019201619550585747, L_s: 0.019201505929231644, L_vlb: 0.0001134957346948795
Itr: 58, Loss: 0.018045784905552864, L_s: 0.018045669421553612, L_vlb: 0.00011464712588349357
Itr: 59, Loss: 0.05589558184146881, L_s: 0.05589434131979942, L_vlb: 0.0012388692703098059
Itr: 60, Loss: 0.010067555122077465, L_s: 0.010067480616271496, L_vlb: 7.405098585877568e-05
Itr: 61, Loss: 0.04419867321848869, L_s: 0.04419717192649841, L_vlb: 0.0015008054906502366
Itr: 62, Loss: 0.03401581943035126, L_s: 0.03401544317603111, L_vlb: 0.0003761046682484448
Itr: 63, Loss: 0.011821391992270947, L_s: 0.011821310967206955, L_vlb: 8.078076643869281e-05
Itr: 64, Loss: 0.015080626122653484, L_s: 0.015080521814525127, L_vlb: 0.00010451817070133984
Itr: 65, Loss: 0.02608555741608143, L_s: 0.026085346937179565, L_vlb: 0.00021081772865727544
Itr: 66, Loss: 0.017460523173213005, L_s: 0.017460381612181664, L_vlb: 0.00014114900841377676
Itr: 67, Loss: 0.016601167619228363, L_s: 0.0166010819375515, L_vlb: 8.518265531165525e-05
Itr: 68, Loss: 0.03453623130917549, L_s: 0.034535542130470276, L_vlb: 0.0006879286374896765
Itr: 69, Loss: 0.052302513271570206, L_s: 0.05230040103197098, L_vlb: 0.0021136091090738773
Itr: 70, Loss: 0.02387230657041073, L_s: 0.023872090503573418, L_vlb: 0.00021675096650142223
Itr: 71, Loss: 0.018993308767676353, L_s: 0.018993206322193146, L_vlb: 0.00010256489622406662
Itr: 72, Loss: 0.06393297761678696, L_s: 0.06393027305603027, L_vlb: 0.0027032485231757164
Itr: 73, Loss: 0.014139296486973763, L_s: 0.014139220118522644, L_vlb: 7.594734051963314e-05
Itr: 74, Loss: 0.07806015759706497, L_s: 0.07805761694908142, L_vlb: 0.0025393289979547262
Itr: 75, Loss: 0.0577748604118824, L_s: 0.0577729269862175, L_vlb: 0.0019331580260768533
Itr: 76, Loss: 0.018838142976164818, L_s: 0.018837954849004745, L_vlb: 0.00018754306074697524
Itr: 77, Loss: 0.02528775855898857, L_s: 0.025287440046668053, L_vlb: 0.0003184974193572998
Itr: 78, Loss: 0.0496818944811821, L_s: 0.0496787428855896, L_vlb: 0.0031520933844149113
Itr: 79, Loss: 0.01755116693675518, L_s: 0.017551075667142868, L_vlb: 9.197276085615158e-05
Itr: 80, Loss: 0.06991782784461975, L_s: 0.06991128623485565, L_vlb: 0.006545283831655979
Itr: 81, Loss: 0.012213144451379776, L_s: 0.012213055044412613, L_vlb: 8.929982141125947e-05
Itr: 82, Loss: 0.04462544247508049, L_s: 0.04462338984012604, L_vlb: 0.0020519548561424017
Itr: 83, Loss: 0.02560335397720337, L_s: 0.02560313791036606, L_vlb: 0.00021602600463666022
Itr: 84, Loss: 0.011042023077607155, L_s: 0.011041956022381783, L_vlb: 6.715079507557675e-05
Itr: 85, Loss: 0.0341130755841732, L_s: 0.034112777560949326, L_vlb: 0.0002987483749166131
Itr: 86, Loss: 0.04919532686471939, L_s: 0.04919376224279404, L_vlb: 0.001565199694596231
Itr: 87, Loss: 0.09422199428081512, L_s: 0.09421508014202118, L_vlb: 0.006913449615240097
Itr: 88, Loss: 0.011441342532634735, L_s: 0.011441245675086975, L_vlb: 9.687240526545793e-05
Itr: 89, Loss: 0.10320449620485306, L_s: 0.10317492485046387, L_vlb: 0.02957351692020893
Itr: 90, Loss: 0.012794268317520618, L_s: 0.012794200330972672, L_vlb: 6.81870078551583e-05
Itr: 91, Loss: 0.029893990606069565, L_s: 0.02989370748400688, L_vlb: 0.00028294927324168384
Itr: 92, Loss: 0.05540592223405838, L_s: 0.05540412291884422, L_vlb: 0.0017981466371566057
Itr: 93, Loss: 0.017708513885736465, L_s: 0.01770838350057602, L_vlb: 0.00012964583584107459
Itr: 94, Loss: 0.02626972086727619, L_s: 0.026269560679793358, L_vlb: 0.00016000133473426104
